Humidity,Temperature,Wind Speed,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
29.84,35.98,4.907,41512.8,29954.4,32553.6
77.7,21.62,4.915,36044.6,24444.1,10825.7
86.3,6.003,0.085,19746.8,13524.6,13827.5
69.39,9.86,0.085,33648.7,28525.3,14613.2
14.01,32.99,3.97,29788.3,20403.7,17530.7
33.64,27.96,4.907,32802,23911.3,26127.6
89.5,15.39,0.071,31397.9,17739.7,21009.5
51.27,25.51,0.072,35958.7,20600.8,18089.4
76.7,4.408,0.082,21466.3,13539.2,14319
70.4,13.75,0.074,30172.9,20276,19288.8
89.1,20.47,0.066,43371.7,26910.2,25491.7
35.41,27.35,4.91,39508.1,28359,31364
82.4,10.95,0.086,32340.7,26518.6,13529.9
68.49,15.47,4.914,32779.7,20126.4,15735.9
85.6,25.02,4.91,35806.6,25891.9,28011.5
45.12,27.56,4.924,27379.1,15436.6,13761.6
70.2,26.59,4.922,37385.8,25177.2,25112.6
85.9,8.89,0.085,22460.8,18274.3,10170.5
54.61,15.84,0.082,27512.5,16778.1,16706.9
58.32,24.46,0.07,35335.6,22180,17829.4
79.4,11.4,0.076,25699.4,15932.9,11223.9
68.79,16.37,0.077,42167.1,25645,25677.1
25.11,34.56,4.924,38527.6,26145.6,32222.3
62.57,14.04,0.082,25181.7,12601.8,13760.3
88.4,10.91,0.088,27145.5,17367.1,12391
76.9,20.41,4.919,22600.4,11986.3,9590.19
85.6,14.47,4.909,24185.9,13331.7,14603.2
50.17,27.25,0.068,35642.8,21926.9,18154.5
41.58,26.67,4.908,37328.1,27747,30413
47.63,17.53,0.082,33571.5,22121.6,17222.1
81.9,20.98,0.064,42774,25731.4,27145.8
44.41,18.66,0.085,35817.7,22205.5,16759.5
78,20.06,4.913,32795.4,20576.8,14391.2
61.55,23.47,4.921,27022.8,16218.7,12949.8
87.1,15.74,0.071,31664.5,17879,18042.2
68.97,14.97,0.072,22086.1,13404.3,14880
84.5,8.49,0.077,30063.8,20250.5,19575.9
52.96,21.58,0.087,33646.2,20838.2,10743.8
59.35,10.51,0.077,38010.6,32737.6,16716.4
71.7,12.22,0.086,32657,26433.9,9842.02
82,20.55,0.066,24680.3,13887.3,13363.2
86.1,8.07,0.089,22037.5,14235.9,14122.4
59.45,13.43,4.921,40779.6,23337.8,23928.4
40.51,28.87,4.905,41176.6,26994.3,23684
25.51,34.8,4.908,39210.1,28496.2,27486.5
75.7,11.7,0.082,27027.7,21057,14590.8
64.02,15.25,0.082,35884.1,27559.9,24290.4
48.35,22.58,0.076,33493.8,21029.3,15985.2
77,17.24,0.076,31027.7,25471.5,14862.7
56.15,24.58,4.919,34349.7,20746.8,12849.7
57.14,17.8,0.083,27169.6,21765,9939.98
71.2,14.09,0.081,22971.9,17482.7,10913.8
65.51,15.15,0.079,33506,20904.9,15816.8
85.3,18.53,4.918,24938.8,15960.5,10143.2
35.29,28.58,4.922,38400,23111.9,19979.8
52.15,18.21,0.078,27944.6,22752.9,9033.25
67.37,20.52,4.91,23996.8,15182.3,17093.2
75.8,12.35,0.083,23483.1,18543,12393.3
71.7,11.6,4.922,21059.2,12207.9,14162.9
89.3,10.61,0.067,27304.9,16474.4,11612.9
78.7,20.92,4.917,46526,31655.3,16809.3
61.12,29.54,4.904,40735.5,28157.6,27692.5
64.45,27.53,4.92,37404.8,23337.3,21378.8
60.48,15.49,0.095,40590.1,34685.5,16341.9
68.56,16.49,0.074,30941.4,25487.6,10274.2
57.47,19.27,4.917,38234.7,22962.2,23158.2
62.45,15.53,0.084,22795.9,13696,14373.9
41.51,21.37,4.918,29175.4,22143,10756.6
89,14.08,4.916,20509.4,12479.3,10243.2
77.9,22.43,4.918,44971.3,26524.7,19456.9
80.2,18.97,0.068,21261.5,16497.5,8836.63
64.81,20.75,0.071,28289.2,20785.5,17760
60.22,21.14,0.272,30087.1,17850.3,14673.6
14.04,31.26,4.905,37098,25880.5,28077.7
27.47,20.18,0.085,32285.9,26691.6,10014.9
54.41,18.9,0.08,24815.2,16870.6,11420.9
74.5,13.79,0.083,20694.7,13127.1,14330.6
87.9,10.41,0.074,25368.5,14432.9,15567.1
82.9,15.29,0.075,32299.7,21636.5,13376.4
33.6,25.57,0.081,35233.9,19818.7,16878.3
75.9,21.25,0.068,26078.9,14542.2,14320.2
70.6,11.41,0.09,39482.9,33632.4,16146
65.88,21.21,0.075,29372.3,23098.8,11294.5
76.8,17.33,0.071,36649.5,20569.9,19636.4
82,15.35,0.069,32901.3,21964.7,13515.2
65.28,13.14,0.08,22924.6,14301.5,15446.7
59.34,20.45,0.072,30344.6,25557,17690.6
81.5,13.82,0.08,22928.4,13479.8,14795.6
40.58,24.95,4.923,34125.2,20935.3,13515.9
75.4,23.56,4.92,39607.9,21266.9,24469.7
68.18,13.96,0.081,40133.8,34317.3,14970.5
62.79,20.38,0.095,33892,21222.8,15132.4
76.3,15.6,0.073,32881,20257.3,15828.4
67.8,23.51,0.069,34992.3,19766.3,17197.3
85.8,24.02,4.913,23875.6,16089.9,18316.3
53.8,27.18,4.922,31133.2,18699.8,22567.4
55.22,22.21,0.268,47551.9,28066.5,21604.4
48.37,27.16,4.923,44868,28230.4,35349.3
60.82,24.11,4.924,36433.3,21184.6,14338.2
63.3,8.99,4.917,23961.4,14122.8,14889.2
76.5,16.46,0.073,34727.4,20009,17902.5
74.3,16.52,0.071,34510.4,20507.5,18996.4
56.99,14.43,0.084,45053.2,29631.6,27626
83.6,12.15,0.072,25907.7,20744.6,10918.6
85.7,13.71,0.084,26735,16814.6,12042.6
62.28,26.08,0.068,50126.7,33593.7,40308
63.99,26.7,4.905,41036,30301.6,31905.7
41.65,21.01,4.91,26185.3,19851.3,15233.6
79.2,27.19,4.927,37072.4,22979.9,17881.9
87.4,9.64,0.087,23248.3,13613.4,14794.8
72.3,27.87,4.917,34662.1,22010.1,30005
54.65,25.83,4.929,48701.1,32069.3,35787.8
68.93,13.63,4.91,30691.5,18842.6,14680.8
73.8,16.25,0.072,33481.2,20258.2,18618.2
27.75,29.29,0.075,44657.3,24876.8,26059.9
58.11,15.25,0.079,30880.6,24633.3,9588.48
91,14.58,0.07,23089.6,10778,12677.8
84.2,21.84,4.916,48089,28017.9,33224.9
74.8,18.43,0.072,37015.4,29967.8,17031.3
75.9,22.99,4.92,38344.8,23242.8,15144.3
65.33,21.87,0.083,41662.3,34020.7,19649.4
90.5,14.09,0.07,25978.9,16222,12858.2
73.4,18.38,4.916,23957.5,13281.1,9519.59
53.52,22.37,4.906,32693.3,23246,17280
23.48,33.11,4.916,46902.9,30239.2,38867.9
92.7,8.96,0.082,22643.3,18635.2,8343.82
49.93,21.52,0.079,36259.7,22305.9,21833.2
41.57,24.95,0.072,31538.4,19326.3,18008.7
38.91,31.16,4.934,34918,20246.7,16636
63.61,15.16,0.081,32476.6,20315.9,15625.2
52.58,28.25,4.91,49907.2,31131.6,43332.6
55.07,14.69,0.082,21864.6,16824.8,9837.11
80.7,26.23,4.918,38018.6,25291.2,29498.2
51.4,20.29,0.089,33468.8,19591,18286.5
90,16.86,4.914,23033.7,13208.7,9197.33
74.1,23.03,4.91,25648.9,15858.2,19738.2
62.82,16.69,4.92,22104.3,13294.8,14469.4
76.8,24.27,4.911,29081.3,19338.1,18658.3
67.25,20.95,0.079,32256,20244,19880.2
67.47,21.4,4.923,35252.5,22703.4,17670.6
64.93,17.3,4.923,30690.6,19083,11204.9
54.05,25.14,4.924,37395.4,22011.6,16544.6
82.9,24.46,4.919,42724.8,27064.6,32866.9
71.2,22.34,4.905,41592.2,28400.8,29377.8
57.63,22.2,4.904,28978.6,19632.9,21334.9
87.4,19.47,0.073,31932.1,23963.9,11677.6
55.01,13.05,0.083,43633.2,25641.3,24695.6
84.1,18.38,0.172,31037.2,19262.2,13597.6
38.52,23.69,4.924,36866.5,22716.6,13854.3
75,22.07,4.918,28501.2,17479.8,20936.9
84.2,22.76,4.919,38406.4,22269.9,29721.6
70.1,18.22,0.081,29789.4,25745.2,16112.8
64.85,13.95,0.081,31527.5,19123.4,14721.3
66.01,19.14,0.083,38990.8,32723.6,17407.2
84.7,19.85,4.911,26168.5,18430.4,8019.28
90.3,18.74,4.914,22221.6,12564.7,9893.44
46.03,21.79,4.922,44544,24824.8,26298.9
74.4,21.45,4.912,35288.8,23687,24653
56.71,14.97,0.08,22442,12036.5,12897.8
87.5,17.3,4.918,28869.2,18583.3,12977.5
64.65,15.24,0.081,22886.7,18716.2,6978.15
88.7,24.52,4.918,29822.9,18460,18574
71.6,16.58,0.073,32658.2,20538.6,15452.5
68.78,13.83,0.077,34126.8,20214,19595.6
73,16.93,0.074,35052.2,20447.4,16649.6
50.65,23.92,0.073,35088.8,21154.2,17898
69.65,20.11,4.917,43257.2,26356.3,27275.8
85.1,18.74,4.915,25541.9,16405.4,11175.7
66.89,18.03,0.114,26966.1,16394.2,11881.8
69.59,12.55,4.923,41401.5,25265.7,25573
74.7,13.63,0.087,38518.5,22964.6,23254.8
65.87,14.38,4.916,31759.3,19973.3,15566.5
82.1,10,0.071,23052.3,13423.2,14011
69.41,13.7,0.071,25999.3,17135.6,12266.8
49.62,29.65,4.911,40371,27968.4,29703.8
67.37,20.68,4.91,24736.7,16465.8,19997.3
72.3,17.42,0.076,22544.1,13846.2,11756.3
50.76,22.52,4.912,28130.2,19344.3,20328.7
87.3,7.9,0.084,24081.7,14326.8,14620.6
79.4,20.69,4.923,45563.9,30753.4,16626.9
56.99,11.76,0.09,22918.5,13885.7,13995.2
78.3,20.37,0.081,45078,28064.3,19357.6
83.5,14.13,0.079,21329.3,16926.7,9478.99
72.3,18.25,0.072,38344.6,31619,21808.2
75.8,22.06,4.92,39859.7,23569.2,21047.8
57.28,15.17,0.079,24406.8,14629.8,14906.5
57.94,21.22,0.085,27085.9,21122,9979.33
63.39,26.4,4.905,28052,21094.4,17912
76.7,9.21,0.081,22067.8,13750.8,14012.5
41.98,26.03,4.927,39188.5,26644.6,24279.9
82.8,11.72,0.085,24826.3,16154.4,11629.9
71.4,22.26,4.917,35877.1,23228.2,12249.5
87,6.817,0.09,21262.4,15807.3,9352.22
36.08,25.32,4.918,34364.6,21047.3,13381.6
49.45,11.83,0.087,24789.9,15297.3,11722.4
78.8,7.2,0.085,21225.9,16867.8,9709.48
42.44,18.77,0.086,35325.6,22263.8,16580.2
58.74,19.47,0.071,33915.2,20764.2,17960.7
71.1,14.79,0.072,25293.6,15187.6,15262.8
64.38,21.57,0.073,30824.6,25687.2,10907
54.19,31.84,4.91,37653.7,25720.3,31625.8
61.12,26.35,4.901,29950.7,24382.7,21691.8
43.39,22.05,4.909,29611.9,20782.7,20415.8
22.08,33.73,0.639,31752.4,17892.3,17052.6
62.31,20.87,0.074,29175.4,23876,11635.7
77.3,21.97,0.069,28990.7,17820.4,13469.5
24.01,34.94,4.906,41442.7,30057,31167.9
82.9,10.31,0.075,28360.7,16566.6,16851.6
78.3,14.97,0.082,37974.1,31485.7,15731.1
65.84,10.73,0.079,33419,20772,16405.9
81.1,8.87,0.084,24473.9,14403.6,14452
86.4,15.86,0.077,33351,18289.6,18688
87.7,9.14,0.084,26937.2,16320.7,12727.7
86.9,9.88,0.076,22710.5,12368.4,13650.3
85,16.02,0.067,28539.6,16016.7,19322.2
75.3,25.07,0.321,32278.9,20675.7,16750.5
63.37,6.243,0.081,21111.9,13258.4,11022.2
74.3,25.84,4.921,37207.2,24413.9,23576.2
46.35,25.47,4.908,32040.4,22374.7,27938.4
56.76,12.81,4.918,34791.9,21176.9,16845.8
88.9,19.64,4.912,27646.7,17214.1,9631.38
91.4,19.31,4.917,23480.7,15113.3,10610.5
45.87,23.85,0.08,35857,21817,21628.1
74.8,9.52,4.924,22849.2,19885.5,7390.84
87.1,15.17,0.072,22615.4,16720.7,10305.5
85.2,19.94,0.066,25214.3,13958.4,15572.7
81.6,10.58,0.082,38321,24977.5,24532
93,5.514,0.081,23781,16514.3,7681.15
81.2,21.34,0.081,31295.6,26637.8,12529.6
84.4,14.72,0.071,39464.4,21684.3,26141.1
55.59,15.55,0.085,34118.8,20089,16443.9
88.3,20.55,4.92,32023.3,19661.5,24818.2
69.62,13.78,0.076,34248.8,20801.2,19375.6
50.88,29.05,4.907,49442.7,36201.5,37960.6
63.68,23.44,4.904,35819.4,23759.2,25802.6
58.01,15.72,0.082,43499,26531.3,25234
60.71,15.93,0.083,37268.4,29887.7,16336.1
77.6,10.36,0.083,31643.4,19262,15595.4
58.82,17.24,4.919,35000.7,21919.5,21314.3
78.8,12.27,0.077,34293.5,28819.9,14538.3
70.6,20.67,4.925,29600.4,21349.8,11204.9
83.5,16.6,0.065,24242.8,13340.5,14528
87.8,25.87,4.91,22873.8,16791.1,16551.7
83.2,11.7,0.082,24670,14959.8,14835.5
61.75,13.45,4.917,33524.4,19737.8,20514.2
76.6,12.33,0.087,26276.5,17090.8,13114.2
81.7,12.97,0.083,40418,22803.7,24201.3
56.32,24.11,0.07,36238.4,23688.1,18160.2
78,11.79,0.086,31507.2,24364.5,9092.92
72.8,20.47,0.072,39003.1,32414.9,17418.8
81.2,10.63,0.073,42449.5,25185.4,24736.2
72.8,27.74,4.906,31024.7,21318.7,21908.5
51.28,27.11,4.906,39699.9,25523.1,23274.7
66.19,12.54,0.076,40401.5,34052.2,16578.2
71.9,15.55,0.074,31298.7,17259.5,22062.5
86.4,13.64,0.081,23606.2,18401.7,8582.17
88.8,25.81,4.907,35634,25268.4,27975.4
64.48,23.1,0.068,40575.7,28450.3,31291.8
77,22.81,0.068,29423,21959.3,15560.9
68.26,17.79,0.076,31884.4,25955.2,9657.62
86.6,24.32,4.919,37436.8,24649.4,29938.7
80.2,13.67,0.079,22479.1,17604.2,6914.77
86.7,24.16,4.915,29246.5,19708.9,23136.4
69.56,14.74,4.919,33575.4,27119,14683.4
61.85,26.85,0.325,32259.8,21330.6,16173.9
55.04,13.52,0.08,20696.6,15689.5,9588.48
56.55,23.33,4.923,28742.5,18536,19001.4
54.92,15,0.085,31397.7,26076.7,9588.48
66.96,13.43,4.914,38788.9,23664.4,24543.6
33.89,27.62,4.916,35793.4,22995.8,18337.5
75.6,13.22,0.083,43133.2,27311.9,25555.7
66.01,11.23,0.089,35714.4,22953.2,17950.8
66.49,13.84,0.083,30886.8,19032.2,18733
55.86,20.18,0.09,32045.5,19206.2,9436.6
37.98,27.39,4.921,44804.3,29088.6,38777.6
77.9,26.59,4.925,35122.6,22333.7,26819.8
44.05,19.61,4.909,24280.2,15806.5,16244.8
58.85,14.84,0.078,21451,17493.7,9611.52
76.5,8.96,0.082,22310.9,14148.3,14920.5
89.3,20.44,0.063,37077.6,22262.4,23116.8
77.5,16.47,0.073,32699.9,15074.5,17786.2
75.7,21.53,4.914,26225.8,14890.2,12767.3
87.2,8.58,0.075,22788.8,13463.4,13999.4
70.2,19,0.073,23883.1,18769.8,11508.4
52.03,24.12,4.924,33292,18621.2,14191.1
78.3,20.55,4.915,27621.2,17476.1,8131.07
83.2,11.87,4.919,30508.5,21085.7,15844.3
51.48,8.88,0.096,34376.9,20939.8,22698.5
50.08,16.34,4.915,30320,25657.4,9958.55
77.1,21.28,4.912,26149.4,14875.3,12549.6
75.1,9.98,0.084,22298.7,13845.6,14105.1
87,21.57,4.911,33432.2,21618.7,12837.9
73.1,20.03,0.08,40370.9,24758.4,24381
70.8,20.12,4.917,25857,14575.5,12395.4
26.63,25.18,4.923,31639.1,20355.4,15577.7
47.88,29.1,4.91,37302.9,26005.1,27685.4
66.34,20.45,0.073,28609.2,21901.2,16441.4
67.37,21.39,4.902,25432,16355.7,17424.6
73.1,20.03,0.071,27403.1,19848.3,15730.1
79.9,18.17,0.07,20215.4,14426,7645.3
67.96,22.34,0.068,32193,20600.6,16213.1
70.6,22.05,0.065,44567.5,25786.3,19468.4
82.5,19.26,4.917,31827.9,20875.5,14761.5
80.1,17.75,0.082,41359.8,34095.4,19789.4
83.5,12.05,0.077,20978.5,14582.2,9617.35
65.13,16.04,0.082,38776.1,21746.6,25041.5
58.11,11.02,0.077,20245.8,12102.4,10248.4
87.9,19.99,0.068,27262.3,16685.5,11391.6
85,8.47,0.089,24291.6,15005.5,11589.4
72.2,21.3,0.069,26141.5,21183.5,11363.9
84.4,9.4,0.077,23258.7,15176.9,14712.3
69.83,23.2,0.073,34776.2,18741,16653.8
25.59,22.86,0.088,32699.9,18399.6,17704.7
77,26.89,4.908,31779.1,21364.3,21890.4
86.8,9.26,0.083,29733.6,18795.1,18924.1
80.5,10.68,0.084,21946.3,13918.5,14099.3
71.4,17.44,0.087,40282.8,22325.9,26123.6
85.7,13.36,0.084,23209.1,19386.3,10072.5
53.94,20.57,0.079,28313.8,21663.2,11230.8
37.95,24.12,4.919,32519.5,22112.2,15979.4
87.4,6.536,0.082,25393.2,20122.7,7854.02
81.8,19.01,0.07,22953.8,17933.1,10114.7
74.7,19.79,0.066,36578.5,29588.4,17170.1
49.7,22.46,0.087,31987.7,26624.4,11068.9
49.08,14.29,0.082,38606.6,24167.8,19408.2
54.71,16.75,4.918,29359,16756.2,16481.9
81.2,21.14,4.917,22092.7,12974.2,13717.7
82.4,26.97,4.908,31184.6,22683.4,24261.8
79.3,18.13,0.074,36655.7,17039.5,17448.7
69.95,16.01,4.916,43114.2,25350,25083.9
53.68,26.53,0.071,49730.3,33160.3,38995.9
57.89,19.6,4.918,32006.2,26706.2,10560
90.8,18.86,4.919,22574.2,13434.1,10610.5
72.4,22.04,0.068,24985.4,13861.1,13959.9
29.38,34.73,4.907,37353.9,25169.6,27528.7
76.9,9.96,0.083,31787.1,27295.5,13449.2
77.8,26.43,4.913,49046.1,31572.2,43971.2
72.2,21.67,0.067,45071.7,25887.1,19526.8
82.3,12.1,0.084,34584.5,20773.2,20647.7
67.71,19.74,4.922,28935.4,21860.3,18777.8
89,24.8,4.92,44859,27020.9,25062.3
67.31,10.56,0.083,22598.8,12885.4,13482.6
69.25,19.55,4.921,28929.2,21607.4,18737.3
72.3,18.54,0.075,26389,16019.8,15851.7
74,26.77,4.902,41342.9,29799.8,26783.7
67.42,13.64,0.084,40899.7,24787.8,25372.9
35.34,24.69,0.083,34547.3,19541.8,16647.9
66.03,24.87,0.072,34445.6,21521.4,16854.6
71.2,23.1,0.075,37288.8,23560.6,12395.4
63.2,27.41,4.908,40785.6,27330.4,27570.9
68.58,14.67,0.083,35479.1,21556.1,19718.7
75.6,22.44,4.911,25494.9,16327.3,14986.8
73.5,20.3,0.076,24399.7,15183.9,15047.1
85.6,20.48,0.065,44846.6,25589.2,25657.1
65.98,12.6,0.083,29322.5,13889.4,14648.7
69.18,19.19,0.076,36529.2,29941.7,17112.3
35.58,27.21,4.925,46264.8,26928.9,19815.8
37.97,15.37,4.914,29563.1,24902.5,9333.98
73.7,26.31,4.908,34802.9,23960.7,22052.9
64.93,15.44,0.074,32336.2,21443.2,16632.3
85.7,5.572,0.084,20848.7,16278.6,9490.52
55.86,18.84,0.082,38565.3,21119.8,25146.2
66.89,16.62,0.073,38444.9,22876.8,18174.2
70.7,21.51,4.921,36266,22744.3,18346.9
88,9.87,0.084,23236.1,12468.3,13796.1
85.2,14.9,0.076,36412.3,29904.5,21443.9
73.5,16.35,0.075,33733.7,20925.2,16158.1
45.13,18.29,0.078,37489,22679.3,18063.9
71,21.42,4.915,40205.6,25342.2,30206
66.62,13.82,0.085,37665.8,23679,23034.2
76.6,23.71,0.273,46054.5,28313.5,23440.1
81,15.36,0.074,21753.8,15958.3,10484.8
50.22,22.29,0.079,40243.7,24522.7,22573.3
80.6,18.3,4.925,33100.9,19564.2,15238.4
57.21,23.74,0.07,35170.3,21139.7,17870.8
64.73,23.88,4.923,32635.8,22704,13443.9
58.49,18.7,4.918,31667.7,25594.2,9837.11
78.7,22.02,0.084,45863.8,25596.7,27476.7
64.22,15.56,0.077,23601.4,14235.9,14663.4
74.3,13.68,0.073,42791.2,24459.6,25413.5
69.79,19.36,4.92,24524.6,13150.1,9619.61
34.41,27.36,4.927,32221.6,18131,16215.1
73.2,27.51,4.905,40876.2,31544.7,27873.1
86.7,8.3,4.918,25867.7,20340,7663.87
40.85,29.97,4.907,47808.6,31963.3,42796.3
73.2,14.69,0.076,44603.5,27133.1,25856.4
70.9,20.87,4.917,28997.7,19131.6,21636.2
52.82,17.26,4.921,37778.5,32511.6,15585.5
84.8,10.04,0.078,23272.9,13803.7,14225.8
86.9,17.97,4.915,24836.1,13836.1,11870.2
46.12,27.72,4.903,48038.3,32612.7,37217.1
65.41,11.83,4.916,32424.4,20028,15132.3
57.64,14.77,0.079,22454.2,13480.9,14466.6
72.7,15.25,0.07,23362.4,12724.6,16011.6
56.34,15.26,0.081,33149.8,26883.1,14866.7
33.38,29.39,4.909,50755.6,35008.9,47429.6
55.71,13.32,4.919,25062.1,13192.7,12611.6
85.3,6.845,0.093,28368.6,18496,13283.9
87.1,24.62,4.92,38932.7,24185,23124.3
83.5,12.73,4.916,18526.2,10253.8,10164.4
85.4,24.33,4.914,33092.9,21877.2,26474.3
61.32,17.16,0.074,34057.5,20732.9,17761.9
89.7,20.7,0.067,23179.9,14332.6,12819.7
67.75,11.25,0.089,31643.5,18860.8,16603.4
69.6,21.42,4.92,34578.9,22275.9,12838.9
66.81,18.52,0.075,31433.8,24515.7,17482.4
51.68,22.87,4.92,31025.9,17897.4,17832.7
70.9,20.57,0.078,26766.7,16450.8,16265.6
60.79,19.79,4.924,36889.2,23442.7,19483.7
75.3,19.64,0.104,27684.6,18362.2,9815.93
51.2,25.85,4.92,30330.9,20327.8,20961.3
75.2,13.61,0.072,42571.5,24766,25205.1
61.93,17.35,4.924,29889.6,15769.6,14667.7
77.4,10.35,0.088,32584,25800.6,9674.91
85.7,9.91,0.087,36195.3,23022.5,22762.1
44.06,19.06,0.083,33370.2,20947.1,16047
87.8,17.89,0.072,23489.2,16988.4,8934.94
62.4,9.51,0.081,22025.3,13550.2,14313.3
77.3,21.51,4.917,41006.6,23115.6,27990.6
87.2,19.01,4.914,43184.3,26192,24485.8
67.06,17.77,0.079,23707.3,14095.4,15414.4
62.29,24.81,0.072,33720.8,21106,16281.6
89.4,8.65,0.081,24492.2,14753.8,13719.8
41.11,28.08,4.903,39591.2,26370.9,24809.5
77.3,14.27,4.915,23078.2,11761.7,10672.8
87.7,5.524,0.088,24443.5,16117.9,13301.2
89.8,14.13,0.258,29339.4,17442.8,14801.5
65.99,27.19,4.921,37737.3,23428.5,21764
66.83,15.34,0.071,31874.4,21045.6,16458.8
62.85,28.65,4.908,39139.9,28070.9,33529.7
69.02,20.46,0.275,25677.9,16061.5,10502.1
58.21,15.17,0.08,22765.4,13178.1,13858.7
82,16.19,0.072,24304.8,13373.5,15447.3
34.94,27.62,4.907,39482.5,25990.7,22787.2
51.77,30.06,0.068,35386.5,20020.8,22803.7
86.4,14.4,0.07,23790.2,13113.2,15429.8
42.51,28.23,4.909,38642.4,24835.4,33511.6
85.2,11.39,0.082,22156.7,16790.4,8280.43
60.65,18.56,0.081,32672.7,21032.9,16182.6
86.2,18.31,4.922,35856.8,22057,21757.4
78.5,20.04,4.909,28282.2,17977.2,18188.8
78.4,13.68,0.084,20781.7,15339.7,9732.53
53.59,10.93,0.086,36723,23963.5,23334.9
75.2,22.64,4.917,29130.6,16080.2,15330.5
71.9,11.81,0.081,20282.6,10920.7,10892.9
47.37,23.22,0.071,46550.5,28395.8,28935.9
