date,WeekStatus,Day_of_week,Load_Type,Usage_kWh,Leading_Current_Power_Factor,Lagging_Current_Power_Factor,Leading_Current_Reactive_Power_kVarh,Lagging_Current_Reactive.Power_kVarh
18/01/2018 09:15,Weekday,Thursday,Medium_Load,97.13,100.00,91.12,0.00,43.92
24/12/2018 16:30,Weekday,Monday,Medium_Load,69.55,100.00,91.93,0.00,29.77
24/06/2018 03:15,Weekend,Sunday,Light_Load,2.59,100.00,60.82,0.00,3.38
25/02/2018 11:30,Weekend,Sunday,Light_Load,4.68,59.39,100.00,6.34,0.00
03/01/2018 20:30,Weekday,Wednesday,Medium_Load,37.30,99.95,99.70,1.22,2.88
12/10/2018 23:45,Weekday,Friday,Light_Load,3.49,100.00,48.69,0.00,6.26
14/09/2018 01:30,Weekday,Friday,Light_Load,3.53,100.00,58.22,0.00,4.93
05/04/2018 03:45,Weekday,Thursday,Light_Load,3.10,100.00,64.12,0.00,3.71
03/07/2018 07:30,Weekday,Tuesday,Light_Load,3.53,100.00,55.72,0.00,5.26
17/09/2018 09:00,Weekday,Monday,Light_Load,56.34,100.00,87.45,0.00,31.25
06/12/2018 04:15,Weekday,Thursday,Light_Load,3.31,100.00,76.69,0.00,2.77
15/03/2018 06:30,Weekday,Thursday,Light_Load,3.38,100.00,50.61,0.00,5.76
01/08/2018 06:30,Weekday,Wednesday,Light_Load,2.66,100.00,48.55,0.00,4.79
12/07/2018 01:00,Weekday,Thursday,Light_Load,2.99,100.00,52.71,0.00,4.82
24/05/2018 21:45,Weekday,Thursday,Medium_Load,8.39,34.55,100.00,22.79,0.00
08/05/2018 23:30,Weekday,Tuesday,Light_Load,3.60,100.00,73.61,0.00,3.31
15/07/2018 22:15,Weekend,Sunday,Medium_Load,4.72,20.89,100.00,22.10,0.00
21/05/2018 14:45,Weekday,Monday,Maximum_Load,76.18,100.00,84.90,0.00,47.41
01/01/2018 17:45,Weekday,Monday,Light_Load,3.60,20.27,100.00,17.39,0.00
16/07/2018 21:15,Weekday,Monday,Medium_Load,4.90,20.00,100.00,24.01,0.00
28/09/2018 10:00,Weekday,Friday,Medium_Load,47.20,100.00,88.77,0.00,24.48
16/11/2018 19:30,Weekday,Friday,Maximum_Load,59.04,100.00,91.36,0.00,26.28
31/07/2018 02:30,Weekday,Tuesday,Light_Load,2.84,100.00,54.58,0.00,4.36
05/09/2018 11:30,Weekday,Wednesday,Maximum_Load,64.26,100.00,85.62,0.00,38.77
04/12/2018 21:15,Weekday,Tuesday,Medium_Load,5.69,27.11,100.00,20.20,0.00
27/09/2018 01:15,Weekday,Thursday,Light_Load,2.74,100.00,41.48,0.00,6.01
06/09/2018 17:00,Weekday,Thursday,Maximum_Load,57.89,100.00,89.11,0.00,29.48
17/06/2018 14:15,Weekend,Sunday,Light_Load,3.02,17.64,100.00,16.85,0.00
06/11/2018 08:15,Weekday,Tuesday,Light_Load,35.03,100.00,75.16,0.00,30.74
06/12/2018 22:00,Weekday,Thursday,Medium_Load,5.54,26.72,100.00,19.98,0.00
13/01/2018 01:30,Weekend,Saturday,Light_Load,4.64,100.00,76.63,0.00,3.89
12/07/2018 01:45,Weekday,Thursday,Light_Load,2.95,100.00,51.89,0.00,4.86
26/03/2018 15:15,Weekday,Monday,Maximum_Load,59.76,100.00,97.31,0.00,14.15
22/11/2018 12:15,Weekday,Thursday,Medium_Load,5.22,24.45,100.00,20.70,0.00
16/11/2018 10:15,Weekday,Friday,Maximum_Load,67.68,100.00,85.71,0.00,40.68
08/02/2018 14:30,Weekday,Thursday,Medium_Load,118.22,100.00,90.95,0.00,54.04
07/02/2018 03:45,Weekday,Wednesday,Light_Load,5.90,100.00,74.45,0.00,5.29
07/04/2018 06:15,Weekend,Saturday,Light_Load,3.17,100.00,51.12,0.00,5.33
03/06/2018 23:45,Weekend,Sunday,Light_Load,3.17,100.00,55.19,0.00,4.79
21/11/2018 08:30,Weekday,Wednesday,Light_Load,50.08,100.00,84.29,0.00,31.97
22/12/2018 03:15,Weekend,Saturday,Light_Load,3.82,99.98,80.25,0.07,2.84
05/07/2018 19:30,Weekday,Thursday,Medium_Load,57.85,100.00,93.20,0.00,22.50
05/12/2018 08:15,Weekday,Wednesday,Light_Load,27.65,100.00,84.95,0.11,17.17
08/05/2018 03:45,Weekday,Tuesday,Light_Load,3.02,100.00,62.82,0.00,3.74
25/12/2018 03:45,Weekday,Tuesday,Light_Load,3.28,99.98,80.59,0.07,2.41
06/07/2018 18:15,Weekday,Friday,Medium_Load,60.44,99.99,87.32,0.61,33.73
02/01/2018 00:15,Weekday,Tuesday,Light_Load,3.20,100.00,71.82,0.00,3.10
16/04/2018 18:15,Weekday,Monday,Medium_Load,37.87,99.99,93.21,0.65,14.72
23/08/2018 14:30,Weekday,Thursday,Maximum_Load,40.07,100.00,98.02,0.00,8.10
28/08/2018 23:00,Weekday,Tuesday,Medium_Load,3.13,100.00,53.83,0.00,4.90
26/02/2018 00:30,Weekday,Monday,Light_Load,3.82,100.00,75.58,0.00,3.31
21/12/2018 11:45,Weekday,Friday,Maximum_Load,57.85,100.00,92.38,0.00,23.98
18/10/2018 17:30,Weekday,Thursday,Medium_Load,47.41,100.00,85.21,0.00,29.12
22/11/2018 04:45,Weekday,Thursday,Light_Load,3.20,100.00,71.04,0.00,3.17
28/08/2018 07:15,Weekday,Tuesday,Light_Load,2.52,100.00,50.04,0.00,4.36
28/07/2018 10:00,Weekend,Saturday,Medium_Load,47.23,100.00,96.30,0.00,13.21
16/07/2018 06:00,Weekday,Monday,Light_Load,2.81,100.00,48.70,0.00,5.04
16/05/2018 02:00,Weekday,Wednesday,Light_Load,3.82,100.00,61.80,0.00,4.86
22/12/2018 15:30,Weekend,Saturday,Light_Load,3.53,24.21,100.00,14.15,0.00
21/07/2018 09:45,Weekend,Saturday,Medium_Load,43.49,100.00,87.66,0.00,23.87
02/09/2018 05:15,Weekend,Sunday,Light_Load,3.17,100.00,45.99,0.00,6.12
02/09/2018 01:15,Weekend,Sunday,Light_Load,2.74,100.00,48.81,0.00,4.90
12/02/2018 07:30,Weekday,Monday,Light_Load,5.33,100.00,72.66,0.00,5.04
13/03/2018 13:15,Weekday,Tuesday,Maximum_Load,53.75,99.88,95.73,2.66,16.24
24/01/2018 17:30,Weekday,Wednesday,Maximum_Load,65.16,100.00,96.53,0.00,17.64
27/01/2018 11:30,Weekend,Saturday,Maximum_Load,30.85,100.00,97.18,0.00,7.49
03/05/2018 04:00,Weekday,Thursday,Light_Load,3.13,100.00,61.63,0.00,4.00
08/05/2018 11:00,Weekday,Tuesday,Maximum_Load,80.14,100.00,91.30,0.00,35.82
28/08/2018 04:45,Weekday,Tuesday,Light_Load,2.63,100.00,54.27,0.00,4.07
06/11/2018 22:00,Weekday,Tuesday,Medium_Load,3.85,21.70,100.00,17.32,0.00
12/06/2018 16:00,Weekday,Tuesday,Maximum_Load,63.61,100.00,96.08,0.00,18.36
05/04/2018 12:00,Weekday,Thursday,Maximum_Load,48.38,100.00,86.54,0.00,28.01
25/08/2018 20:00,Weekend,Saturday,Light_Load,2.88,20.80,100.00,13.54,0.00
29/01/2018 16:45,Weekday,Monday,Medium_Load,129.13,100.00,94.07,0.00,46.58
12/09/2018 09:30,Weekday,Wednesday,Medium_Load,41.69,100.00,89.16,0.00,21.17
11/09/2018 17:30,Weekday,Tuesday,Medium_Load,75.82,100.00,86.71,0.00,43.56
05/05/2018 05:30,Weekend,Saturday,Light_Load,3.53,100.00,61.38,0.00,4.54
07/11/2018 11:15,Weekday,Wednesday,Maximum_Load,49.00,100.00,87.04,0.00,27.72
01/06/2018 19:30,Weekday,Friday,Medium_Load,4.97,19.09,100.00,25.56,0.00
28/11/2018 09:45,Weekday,Wednesday,Medium_Load,58.97,100.00,91.59,0.00,25.85
23/05/2018 00:15,Weekday,Wednesday,Light_Load,3.20,100.00,52.26,0.00,5.22
29/01/2018 14:00,Weekday,Monday,Medium_Load,117.07,100.00,92.95,0.00,46.44
24/03/2018 06:45,Weekend,Saturday,Light_Load,3.49,100.00,58.33,0.00,4.86
09/09/2018 13:30,Weekend,Sunday,Maximum_Load,21.10,99.06,99.29,2.92,2.52
19/08/2018 02:15,Weekend,Sunday,Light_Load,2.74,100.00,50.52,0.00,4.68
06/12/2018 07:30,Weekday,Thursday,Light_Load,3.46,99.99,80.39,0.04,2.56
25/03/2018 20:00,Weekend,Sunday,Medium_Load,5.00,18.57,100.00,26.46,0.00
25/06/2018 04:00,Weekday,Monday,Light_Load,2.84,100.00,51.88,0.00,4.68
27/01/2018 20:45,Weekend,Saturday,Medium_Load,4.39,24.77,100.00,17.17,0.00
21/12/2018 22:30,Weekday,Friday,Maximum_Load,5.26,100.00,84.64,0.00,3.31
14/05/2018 08:45,Weekday,Monday,Light_Load,58.10,100.00,73.90,0.00,52.96
14/08/2018 01:00,Weekday,Tuesday,Light_Load,2.81,100.00,47.12,0.00,5.26
25/10/2018 11:00,Weekday,Thursday,Maximum_Load,67.43,100.00,83.46,0.00,44.50
23/02/2018 17:00,Weekday,Friday,Medium_Load,60.30,100.00,93.89,0.00,22.10
22/02/2018 06:45,Weekday,Thursday,Light_Load,5.00,100.00,71.99,0.00,4.82
24/05/2018 09:45,Weekday,Thursday,Medium_Load,99.58,100.00,93.12,0.00,38.99
19/04/2018 23:45,Weekday,Thursday,Light_Load,3.53,100.00,74.09,0.00,3.20
18/01/2018 09:45,Weekday,Thursday,Medium_Load,70.06,100.00,93.10,0.00,27.47
14/01/2018 07:00,Weekend,Sunday,Light_Load,3.96,100.00,73.62,0.00,3.64
29/11/2018 22:30,Weekday,Thursday,Maximum_Load,4.14,100.00,60.35,0.00,5.47
09/12/2018 21:45,Weekend,Sunday,Light_Load,3.38,22.52,100.00,14.62,0.00
01/07/2018 08:00,Weekend,Sunday,Light_Load,3.06,100.00,64.04,0.00,3.67
29/10/2018 16:45,Weekday,Monday,Maximum_Load,101.27,100.00,90.50,0.00,47.59
14/01/2018 11:00,Weekend,Sunday,Maximum_Load,14.00,54.00,100.00,21.82,0.00
02/06/2018 11:15,Weekend,Saturday,Light_Load,6.26,67.89,100.00,6.77,0.00
23/04/2018 07:30,Weekday,Monday,Light_Load,3.89,100.00,70.71,0.00,3.89
17/12/2018 21:15,Weekday,Monday,Medium_Load,4.43,20.52,100.00,21.13,0.00
11/12/2018 02:15,Weekday,Tuesday,Light_Load,4.28,100.00,75.91,0.04,3.67
05/11/2018 04:45,Weekday,Monday,Light_Load,2.92,100.00,56.00,0.00,4.32
12/07/2018 16:00,Weekday,Thursday,Maximum_Load,51.73,100.00,94.71,0.00,17.53
28/05/2018 14:45,Weekday,Monday,Maximum_Load,54.11,100.00,89.33,0.00,27.22
03/10/2018 06:30,Weekday,Wednesday,Light_Load,3.49,100.00,40.62,0.00,7.85
17/04/2018 14:00,Weekday,Tuesday,Maximum_Load,94.00,100.00,93.22,0.00,36.50
18/06/2018 21:30,Weekday,Monday,Medium_Load,3.85,16.48,100.00,23.04,0.00
01/02/2018 19:30,Weekday,Thursday,Maximum_Load,92.84,100.00,91.55,0.00,40.79
09/02/2018 08:15,Weekday,Friday,Light_Load,57.56,100.00,85.21,0.00,35.35
17/11/2018 05:30,Weekend,Saturday,Light_Load,3.17,100.00,59.16,0.00,4.32
09/09/2018 08:30,Weekend,Sunday,Light_Load,5.76,100.00,49.10,0.00,10.22
17/01/2018 10:00,Weekday,Wednesday,Medium_Load,67.18,100.00,95.87,0.00,19.94
31/12/2018 05:15,Weekday,Monday,Light_Load,3.56,99.92,79.25,0.14,2.74
10/04/2018 19:00,Weekday,Tuesday,Medium_Load,48.17,100.00,95.18,0.00,15.52
25/12/2018 21:30,Weekday,Tuesday,Light_Load,4.03,19.33,100.00,20.45,0.00
07/08/2018 22:45,Weekday,Tuesday,Medium_Load,3.06,100.00,49.30,0.00,5.40
05/10/2018 04:30,Weekday,Friday,Light_Load,3.38,100.00,46.64,0.00,6.41
15/12/2018 10:30,Weekend,Saturday,Light_Load,3.35,21.73,100.00,15.05,0.00
21/11/2018 03:30,Weekday,Wednesday,Light_Load,2.88,99.63,82.94,0.25,1.94
21/02/2018 09:15,Weekday,Wednesday,Medium_Load,60.59,100.00,97.08,0.00,14.98
09/06/2018 08:15,Weekend,Saturday,Light_Load,3.13,100.00,49.67,0.00,5.47
26/11/2018 08:30,Weekday,Monday,Light_Load,88.92,100.00,80.35,0.00,65.88
25/12/2018 16:30,Weekday,Tuesday,Light_Load,3.42,23.73,100.00,14.00,0.00
27/12/2018 19:30,Weekday,Thursday,Maximum_Load,47.99,100.00,98.83,0.25,7.42
30/05/2018 20:45,Weekday,Wednesday,Medium_Load,68.80,100.00,93.37,0.00,26.39
22/11/2018 10:15,Weekday,Thursday,Maximum_Load,139.57,100.00,92.13,0.00,58.90
03/01/2018 18:00,Weekday,Wednesday,Maximum_Load,73.62,99.97,98.42,1.69,13.25
15/08/2018 04:30,Weekday,Wednesday,Light_Load,2.66,100.00,52.43,0.00,4.32
08/10/2018 02:30,Weekday,Monday,Light_Load,2.66,100.00,45.68,0.00,5.18
23/03/2018 06:30,Weekday,Friday,Light_Load,3.24,100.00,63.32,0.00,3.96
14/01/2018 10:15,Weekend,Sunday,Maximum_Load,15.01,74.35,100.00,13.50,0.04
19/08/2018 23:15,Weekend,Sunday,Light_Load,2.63,100.00,50.13,0.00,4.54
09/06/2018 17:45,Weekend,Saturday,Light_Load,3.13,18.72,100.00,16.42,0.00
19/08/2018 18:45,Weekend,Sunday,Light_Load,2.66,25.85,100.00,9.94,0.00
26/09/2018 05:45,Weekday,Wednesday,Light_Load,2.63,100.00,44.05,0.00,5.36
15/04/2018 08:15,Weekend,Sunday,Light_Load,3.17,100.00,57.25,0.00,4.54
20/11/2018 01:00,Weekday,Tuesday,Light_Load,3.60,100.00,69.35,0.00,3.74
27/06/2018 19:00,Weekday,Wednesday,Medium_Load,3.71,14.07,100.00,26.10,0.00
02/03/2018 21:15,Weekday,Friday,Medium_Load,40.68,100.00,98.39,0.36,7.38
25/08/2018 13:00,Weekend,Saturday,Light_Load,3.38,24.91,100.00,13.14,0.00
19/02/2018 13:15,Weekday,Monday,Medium_Load,61.67,99.96,93.98,1.73,22.43
08/02/2018 06:30,Weekday,Thursday,Light_Load,4.93,100.00,61.87,0.00,6.26
02/05/2018 01:45,Weekday,Wednesday,Light_Load,4.00,100.00,59.03,0.00,5.47
08/11/2018 22:30,Weekday,Thursday,Maximum_Load,3.78,100.00,48.59,0.00,6.80
18/06/2018 12:15,Weekday,Monday,Medium_Load,12.49,69.50,97.20,12.92,3.02
04/08/2018 22:15,Weekend,Saturday,Light_Load,3.06,50.57,94.30,5.22,1.08
05/10/2018 06:00,Weekday,Friday,Light_Load,3.02,100.00,47.14,0.00,5.65
16/06/2018 00:00,Weekend,Saturday,Light_Load,2.99,100.00,49.70,0.00,5.22
24/09/2018 07:15,Weekday,Monday,Light_Load,2.66,100.00,42.35,0.00,5.69
08/01/2018 21:45,Weekday,Monday,Medium_Load,5.18,19.55,100.00,25.99,0.00
03/12/2018 01:30,Weekday,Monday,Light_Load,3.35,100.00,80.37,0.00,2.48
02/02/2018 22:15,Weekday,Friday,Maximum_Load,42.05,99.99,95.45,0.43,13.14
06/12/2018 11:15,Weekday,Thursday,Maximum_Load,60.88,100.00,88.77,0.00,31.57
29/12/2018 22:45,Weekend,Saturday,Light_Load,3.13,100.00,74.89,0.00,2.77
01/10/2018 09:30,Weekday,Monday,Medium_Load,55.01,100.00,86.61,0.00,31.75
01/10/2018 11:00,Weekday,Monday,Maximum_Load,55.84,100.00,87.26,0.00,31.25
14/12/2018 11:45,Weekday,Friday,Maximum_Load,88.85,100.00,92.40,0.00,36.76
30/04/2018 19:00,Weekday,Monday,Medium_Load,3.78,14.45,100.00,25.88,0.00
02/02/2018 12:45,Weekday,Friday,Medium_Load,9.68,35.69,100.00,25.34,0.00
24/03/2018 10:15,Weekend,Saturday,Maximum_Load,33.52,99.54,99.99,3.24,0.58
07/01/2018 10:45,Weekend,Sunday,Light_Load,3.56,20.18,100.00,17.28,0.00
01/06/2018 08:30,Weekday,Friday,Light_Load,51.19,100.00,72.30,0.00,48.92
07/05/2018 02:30,Weekday,Monday,Light_Load,2.99,100.00,56.56,0.00,4.36
22/10/2018 03:45,Weekday,Monday,Light_Load,2.92,100.00,45.47,0.00,5.72
12/04/2018 09:30,Weekday,Thursday,Medium_Load,104.54,100.00,90.89,0.00,47.95
25/11/2018 09:15,Weekend,Sunday,Light_Load,4.93,23.71,100.00,20.20,0.00
20/05/2018 05:30,Weekend,Sunday,Light_Load,3.06,100.00,46.92,0.00,5.76
06/11/2018 18:45,Weekday,Tuesday,Maximum_Load,52.81,100.00,88.20,0.00,28.22
02/09/2018 20:00,Weekend,Sunday,Medium_Load,2.88,22.90,100.00,12.24,0.00
16/12/2018 15:45,Weekend,Sunday,Medium_Load,48.42,100.00,94.79,0.00,16.27
17/07/2018 09:15,Weekday,Tuesday,Medium_Load,58.64,100.00,79.69,0.00,44.46
02/08/2018 19:15,Weekday,Thursday,Light_Load,2.95,17.65,100.00,16.45,0.00
22/11/2018 03:45,Weekday,Thursday,Light_Load,3.20,100.00,71.49,0.00,3.13
29/03/2018 22:45,Weekday,Thursday,Medium_Load,3.60,100.00,58.12,0.00,5.04
15/03/2018 10:30,Weekday,Thursday,Maximum_Load,125.10,100.00,92.80,0.00,50.22
25/06/2018 01:00,Weekday,Monday,Light_Load,2.95,100.00,53.32,0.00,4.68
25/09/2018 08:45,Weekday,Tuesday,Light_Load,2.48,73.76,77.08,2.27,2.05
13/07/2018 21:45,Weekday,Friday,Medium_Load,3.82,22.76,100.00,16.34,0.00
04/05/2018 14:30,Weekday,Friday,Maximum_Load,58.25,100.00,90.58,0.00,27.25
24/05/2018 12:15,Weekday,Thursday,Medium_Load,5.00,26.52,100.00,18.18,0.00
18/10/2018 20:45,Weekday,Thursday,Medium_Load,42.77,100.00,92.28,0.00,17.86
05/11/2018 14:30,Weekday,Monday,Medium_Load,68.47,100.00,83.97,0.00,44.28
25/11/2018 20:00,Weekend,Sunday,Light_Load,3.10,19.08,100.00,15.95,0.00
05/02/2018 04:45,Weekday,Monday,Light_Load,4.43,100.00,69.29,0.00,4.61
12/04/2018 23:45,Weekday,Thursday,Light_Load,4.07,100.00,56.98,0.00,5.87
09/11/2018 18:30,Weekday,Friday,Maximum_Load,58.79,100.00,86.81,0.00,33.62
21/01/2018 15:30,Weekend,Sunday,Light_Load,5.15,19.65,100.00,25.70,0.00
14/06/2018 09:15,Weekday,Thursday,Medium_Load,59.76,100.00,96.20,0.00,16.96
18/10/2018 22:30,Weekday,Thursday,Medium_Load,4.97,100.00,47.45,0.00,9.22
19/05/2018 10:45,Weekend,Saturday,Maximum_Load,56.74,100.00,91.74,0.00,24.62
24/03/2018 12:15,Weekend,Saturday,Medium_Load,6.34,41.87,99.09,13.75,0.86
20/02/2018 05:45,Weekday,Tuesday,Light_Load,5.80,100.00,74.07,0.00,5.26
17/02/2018 17:15,Weekend,Saturday,Light_Load,3.92,18.57,100.00,20.74,0.00
22/08/2018 09:15,Weekday,Wednesday,Medium_Load,48.28,100.00,89.22,0.00,24.44
01/12/2018 17:30,Weekend,Saturday,Maximum_Load,4.75,21.96,100.00,21.10,0.00
19/04/2018 13:45,Weekday,Thursday,Maximum_Load,64.87,100.00,89.96,0.00,31.50
15/09/2018 03:15,Weekend,Saturday,Light_Load,2.70,100.00,47.51,0.00,5.00
11/04/2018 05:15,Weekday,Wednesday,Light_Load,3.28,100.00,57.39,0.00,4.68
29/03/2018 09:15,Weekday,Thursday,Medium_Load,51.08,100.00,94.50,0.00,17.68
20/04/2018 10:15,Weekday,Friday,Maximum_Load,57.28,100.00,90.96,0.00,26.17
24/11/2018 11:45,Weekend,Saturday,Light_Load,3.28,23.38,100.00,13.64,0.00
01/01/2018 03:30,Weekday,Monday,Light_Load,3.31,100.00,66.27,0.00,3.74
01/03/2018 00:30,Weekday,Thursday,Light_Load,5.33,100.00,67.66,0.00,5.80
28/09/2018 15:45,Weekday,Friday,Maximum_Load,56.66,100.00,86.66,0.00,32.62
03/07/2018 08:00,Weekday,Tuesday,Light_Load,5.22,100.00,64.89,0.00,6.12
23/06/2018 12:15,Weekend,Saturday,Medium_Load,9.83,70.96,94.65,9.76,3.35
19/04/2018 19:30,Weekday,Thursday,Medium_Load,40.10,100.00,99.70,0.40,3.13
19/11/2018 14:00,Weekday,Monday,Medium_Load,58.79,100.00,89.28,0.00,29.66
03/04/2018 16:00,Weekday,Tuesday,Maximum_Load,67.36,100.00,89.28,0.00,33.98
11/03/2018 16:30,Weekend,Sunday,Maximum_Load,30.35,99.78,99.98,2.02,0.54
19/04/2018 11:30,Weekday,Thursday,Maximum_Load,59.36,100.00,78.50,0.00,46.84
08/04/2018 09:30,Weekend,Sunday,Medium_Load,90.58,100.00,97.68,0.50,19.87
07/03/2018 23:45,Weekday,Wednesday,Light_Load,3.06,100.00,78.94,0.00,2.38
12/02/2018 22:15,Weekday,Monday,Maximum_Load,32.69,99.11,96.36,4.39,9.07
22/07/2018 02:30,Weekend,Sunday,Light_Load,3.31,59.25,100.00,4.50,0.00
01/12/2018 05:30,Weekend,Saturday,Light_Load,3.28,99.94,82.23,0.11,2.27
26/09/2018 07:30,Weekday,Wednesday,Light_Load,2.56,100.00,42.14,0.00,5.51
20/04/2018 08:30,Weekday,Friday,Light_Load,48.92,100.00,72.66,0.00,46.26
30/01/2018 21:00,Weekday,Tuesday,Medium_Load,71.42,100.00,98.51,0.00,12.49
17/01/2018 14:45,Weekday,Wednesday,Medium_Load,52.42,100.00,94.44,0.00,18.25
05/08/2018 20:15,Weekend,Sunday,Light_Load,3.13,18.53,100.00,16.60,0.00
23/11/2018 17:15,Weekday,Friday,Maximum_Load,86.98,100.00,88.41,0.00,45.97
22/09/2018 13:00,Weekend,Saturday,Light_Load,2.95,25.03,100.00,11.41,0.00
25/01/2018 20:00,Weekday,Thursday,Maximum_Load,69.16,100.00,95.54,0.00,21.38
03/10/2018 22:45,Weekday,Wednesday,Medium_Load,2.77,100.00,45.18,0.00,5.47
03/01/2018 22:00,Weekday,Wednesday,Medium_Load,5.18,18.99,100.00,26.78,0.00
12/08/2018 15:00,Weekend,Sunday,Light_Load,3.02,20.10,100.00,14.72,0.00
14/10/2018 20:15,Weekend,Sunday,Light_Load,3.06,23.53,100.00,12.64,0.00
09/09/2018 09:15,Weekend,Sunday,Medium_Load,10.22,88.17,99.99,5.47,0.11
27/11/2018 15:15,Weekday,Tuesday,Medium_Load,81.58,100.00,95.01,0.00,26.78
20/03/2018 09:30,Weekday,Tuesday,Medium_Load,68.51,100.00,91.34,0.00,30.53
08/03/2018 22:30,Weekday,Thursday,Medium_Load,5.08,100.00,72.54,0.00,4.82
27/05/2018 01:00,Weekend,Sunday,Light_Load,2.77,100.00,52.08,0.00,4.54
31/10/2018 23:45,Weekday,Wednesday,Light_Load,3.92,100.00,59.54,0.00,5.29
12/04/2018 02:15,Weekday,Thursday,Light_Load,3.53,100.00,61.13,0.00,4.57
06/06/2018 13:00,Weekday,Wednesday,Medium_Load,4.79,24.13,100.00,19.26,0.00
06/10/2018 09:45,Weekend,Saturday,Medium_Load,41.69,100.00,88.20,0.00,22.28
22/12/2018 12:00,Weekend,Saturday,Light_Load,3.60,25.45,100.00,13.68,0.00
02/01/2018 12:15,Weekday,Tuesday,Medium_Load,19.22,71.30,96.09,18.90,5.54
21/04/2018 04:00,Weekend,Saturday,Light_Load,3.10,100.00,64.84,0.00,3.64
09/09/2018 01:30,Weekend,Sunday,Light_Load,2.77,100.00,46.87,0.00,5.22
22/10/2018 14:45,Weekday,Monday,Maximum_Load,92.56,100.00,87.12,0.00,52.16
26/03/2018 17:30,Weekday,Monday,Medium_Load,55.87,100.00,90.11,0.00,26.89
06/05/2018 21:00,Weekend,Sunday,Light_Load,3.28,18.99,100.00,16.96,0.00
02/03/2018 13:45,Weekday,Friday,Maximum_Load,90.86,100.00,98.57,0.14,15.52
20/12/2018 11:00,Weekday,Thursday,Maximum_Load,77.51,100.00,87.11,0.00,43.70
26/09/2018 05:30,Weekday,Wednesday,Light_Load,2.56,100.00,43.56,0.00,5.29
25/04/2018 17:45,Weekday,Wednesday,Medium_Load,62.93,100.00,88.52,0.00,33.08
15/10/2018 03:30,Weekday,Monday,Light_Load,2.74,100.00,47.26,0.00,5.11
05/02/2018 09:30,Weekday,Monday,Medium_Load,71.39,100.00,94.30,0.00,25.20
25/11/2018 18:45,Weekend,Sunday,Light_Load,3.02,20.38,100.00,14.51,0.00
16/10/2018 09:30,Weekday,Tuesday,Medium_Load,110.52,100.00,91.36,0.00,49.18
16/09/2018 05:45,Weekend,Sunday,Light_Load,2.66,100.00,44.92,0.00,5.29
07/06/2018 23:30,Weekday,Thursday,Light_Load,3.35,100.00,60.32,0.00,4.43
25/05/2018 03:30,Weekday,Friday,Light_Load,3.49,100.00,65.74,0.00,4.00
